model,val_accuracy,val_auc,test_accuracy,test_auc
random_forest,0.9902912621359223,1.0,0.9805825242718447,1.0
svm_rbf,0.5145631067961165,1.0,0.5145631067961165,1.0
xgboost,1.0,1.0,1.0,1.0
lightgbm,1.0,1.0,1.0,1.0
gradient_boosting,1.0,1.0,1.0,1.0
knn,0.9902912621359223,0.9988679245283019,0.9805825242718447,1.0
decision_tree,0.941747572815534,0.9852830188679245,0.941747572815534,0.9750943396226415
adaboost,0.9320388349514563,0.9833962264150943,0.8932038834951457,0.9739622641509433
logistic_regression,0.8932038834951457,0.9539622641509433,0.9223300970873787,0.9652830188679246
kmeans,0.7669902912621359,0.7662264150943396,0.7766990291262136,0.7733962264150943
